Participant Name,Stream,Participation tier,Website/LinkedIn URL
ADGA,3,Tier 6 - Committed,https://www.adga.ca/
Adirondack Information Technology,3,Tier 6 - Committed,https://adirondackhr.ca/
ADRM Group Consulting Corp.,3,Tier 6 - Committed,http://adrmtec.com/
AET Group Inc.,3,Tier 6 - Committed,https://www.aet98.com/about/sustainability/
Armour Valve Ltd.,3,Tier 6 - Committed,https://armourvalve.com/
Biothermica Technologies,3,Tier 6 - Committed,https://www.biothermica.com/
Copernicus Educational Products,3,Tier 6 - Committed,https://www.copernicused.com/
Columbia Environmental Consulting Inc.,3,Tier 6 - Committed,https://columbiaenv.com/columbia-environmental/
Experis Canada,3,Tier 6 - Committed,https://www.experisjobs.ca/ej-ca-en/Working-with-Experis/About-Experis.htm
Foresight Canada,3,Tier 6 - Committed,https://foresightcac.com/
GSI International Consulting Inc.,3,Tier 6 - Committed,https://gsiconsultinggroup.ca/
I4C Consulting Inc.,3,Tier 6 - Committed,https://www.i4c.com/
IBISKA Telecom Inc.,3,Tier 6 - Committed,https://ibiska.com/ibiska-celebrates-17-years/
iFathom Corporation,3,Tier 6 - Committed,https://ifathom.com/
International Custom Products Inc (ICP),3,Tier 6 - Committed,https://icpinc.com/
Le Prix,3,Tier 6 - Committed,https://www.leprixclothing.com/
Makwa Resourcing Inc.,3,Tier 6 - Committed,https://makwaresourcing.com/about-us/
Maplesoft Group,3,Tier 6 - Committed,https://www.maplesoftgroup.com/
Maverin Inc.,3,Tier 6 - Committed,https://www.maverin.com/
Moerae Solutions Inc.,3,Tier 6 - Committed,https://www.msicorp.ca/
Moderna Manufacturing Canada Corporation,3,Tier 6 - Committed,https://www.modernatx.com/
NavPoint Consultation Group Inc.,3,Tier 6 - Committed,https://navpoint.ca/#1461328897545-6227748f-d226
NewFound Recruiting,3,Tier 6 - Committed,https://newfoundrecruiting.com/
Northern Energy Capital,3,Tier 6 - Committed,https://www.northernenergycapital.com/about
Nouveau Monde Graphite,3,Tier 6 - Committed,https://nmg.com/
Novex Delivery Solutions,3,Tier 6 - Committed,https://www.novex.ca/sustainability/
Onakì Création,3,Tier 6 - Committed,https://onaki.ca/en/
Platinum Pro-claim Restoration Limited,3,Tier 6 - Committed,https://ppcr.ca/
Raspberry Point Oysters,3,Tier 6 - Committed,https://raspberrypoint.com/sustainability/
BetterTable.ca,3,Tier 6 - Committed,https://BetterTable.ca
Science North,3,Tier 6 - Committed,https://www.sciencenorth.ca/home
Sustainability Advantage,3,Tier 1 - Diamond,https://sustainabilityadvantage.com/
SustainAgro Ltd.,3,Tier 6 - Committed,https://sustain-agro.com/
The Employment Solution,3,Tier 6 - Committed,https://www.tes.net/about_tes/
TPG Technology Consulting Ltd.,3,Tier 6 - Committed,http://tpgtechnology.com/
TRM Technologies,3,Tier 6 - Committed,http://www.trm.ca/en/index/about-us.html
True EV Charging,3,Tier 6 - Committed,https://www.trueevcharging.com/
Alphinat Inc.,3,Tier 6 - Committed,https://www.alphinat.com/en/company/
ThinkOn Inc.,3,Tier 6 - Committed,https://thinkon.com/
Francis Organizational Consultants Inc. (FOCI),3,Tier 6 - Committed,https://www.foci.dev/
Bloombase Canada,3,Tier 6 - Committed,https://www.bloombase.com/company/
Brightspot Climate Inc.,3,Tier 6 - Committed,https://brightspot.co/
Tundra Technical Solutions Inc.,3,Tier 6 - Committed,https://www.tundratechnical.ca/tundragreen/
Lemay Co.,3,Tier 6 - Committed,https://lemay.com/net-positive/
OK Gear Ltd,3,Tier 6 - Committed,https://www.okstoregear.com/
Donna Cona,3,Tier 6 - Committed,https://www.donnacona.com/about-us/
Montreal Port Authority,3,Tier 6 - Committed,https://www.port-montreal.com/en/
"Calko Group, member of the Canadian Textile Industry Association",3,Tier 6 - Committed,https://calkogroup.com/
"FilSpec Inc, member of the Canadian Textile Industry Association",3,Tier 6 - Committed,https://www.filspec.com/
"Davey Textiles Solutions Inc., member of the Canadian Textile Industry Association",3,Tier 6 - Committed,https://daveytextiles.com/
"Fine Cotton Factory, member of the Canadian Textile Industry Association",3,Tier 6 - Committed,https://www.finecottonfactory.com/
"Logistik Unicorp Inc., member of the Canadian Textile Industry Association",3,Tier 6 - Committed,https://www.logistikunicorp.com/en/default.asp?Lang=en&PageName=home%20
"MW Canada LTD, member of the Canadian Textile Industry Association",3,Tier 6 - Committed,https://www.mwcanada.com/
"Oratex Inc., member of the Canadian Textile Industry Association",3,Tier 6 - Committed,https://oratex.ca/en/sustainable-development/
Roopa Knitting Mills Ltd,3,Tier 6 - Committed,https://www.roopa.com/
"Texonic Inc., member of the Canadian Textile Industry Association",3,Tier 6 - Committed,https://texonic.net/en/
"Textiles Monterey Inc., member of the Canadian Textile Industry Association",3,Tier 6 - Committed,https://www.textilesmonterey.ca/home
"WUXLY, member of the Canadian Textile Industry Association",3,Tier 6 - Committed,https://wuxly.com/pages/our-commitment
"Regitex, member of the Canadian Textile Industry Association",3,Tier 6 - Committed,https://regitex.com/en/
49 Solutions Inc. & Fast Track Staffing Inc.,3,Tier 6 - Committed,https://www.49solutions.com/
Altis Recruitment,3,Tier 6 - Committed,https://www.altisrecruitment.com/
Kirsch Consulting Group Inc.,3,Tier 6 - Committed,https://kirschgroup.ca/
upCyc Foods Ltd.,3,Tier 6 - Committed,N/A
Provencher Roy + Associés Architectes Inc,3,Tier 6 - Committed,https://provencherroy.ca/en/
Quebec Port Authority,3,Tier 6 - Committed,https://www.portquebec.ca/en/
Trois-Rivières Port Authority,3,Tier 6 - Committed,https://porttr.com/en/
Agri-Tech Canada,3,Tier 6 - Committed,https://agri-techcanada.webflow.io/
LMNO Consulting,3,Tier 2 - Platinum,https://www.meetlmno.com/
Ethical Profit Agency,3,Tier 6 - Committed,https://ethicalprofitagency.com/services/
GreenStep Solutions Inc.,3,Tier 3 - Gold,https://greenstep.ca/
Obibox Logistique,3,Tier 6 - Committed,https://obibox.co/en/
S.i. Systems,3,Tier 6 - Committed,https://www.sisystems.com/
Astraea Energy Inc.,3,Tier 6 - Committed,https://astraeaenergy.com/
REIS Future Canada Inc.,3,Tier 6 - Committed,https://reiscanada.com/
Groupe Axiomatech inc.,3,Tier 6 - Committed,https://axiomatech.com/en/
QuantoTech Solutions Ltd,3,Tier 6 - Committed,https://www.quantotechltd.com/
Keystone Environmental Ltd.,3,Tier 6 - Committed,https://keystoneenvironmental.ca/
Timespreneur Ventures Inc.,3,Tier 6 - Committed,https://timespreneur.com/
ARLANXEO Canada Inc,3,Tier 6 - Committed,https://www.arlanxeo.com/en/
Valstroom Inc,3,Tier 6 - Committed,https://valstroom.com/
Slate Construction,3,Tier 6 - Committed,http://slateinc.ca/
STRATEGIA CONSEIL,3,Tier 6 - Committed,https://www.strategiaconseil.ca/en/
Tiree,3,Tier 6 - Committed,https://tiree.ca/
Comtech Group Inc.,3,Tier 6 - Committed,https://www.teamcomtech.com/
Mobile Resource Group Inc.,3,Tier 6 - Committed,https://www.mobileresources.ca/
T.I.7 Inc. (Innovation 7 Inc.),3,Tier 6 - Committed,https://www.innovation7.ca/
Top Shelf Distillers,3,Tier 6 - Committed,https://topshelfdistillers.com/
VL Energy Ltd,3,Tier 6 - Committed,https://vlenergy.ca/
Core Geoscience Services Inc.,3,Tier 6 - Committed,https://coregeo.ca/
Daniel J Brant & Associates,3,Tier 6 - Committed,https://topshelfdistillers.com/
Core6 Environmental Ltd.,3,Tier 6 - Committed,https://core6.ca/
CarbiCrete Inc.,3,Tier 6 - Committed,https://carbicrete.com/
Mavryck Inc,3,Tier 6 - Committed,https://mavryck.com/
Orthoshop Geomatics Ltd,3,Tier 6 - Committed,https://www.orthoshop.com/
FNMPC (First Nations Major Projects Coalition) Advisory Centre,3,Tier 6 - Committed,https://www.fnmpcadvisory.com/
Teal Environmental Inc.,3,Tier 6 - Committed,https://www.tealenvironmental.com/
MCG Canada Inc.,3,Tier 6 - Committed,http://www.vuila.ca/
ThisRock Inc.,3,Tier 6 - Committed,https://thisrockesg.com/
Hypertechnologie CIARA Inc.,3,Tier 6 - Committed,https://ciaratech.com/
Morning Breeze HealthCare Inc.,3,Tier 6 - Committed,https://morning-breeze.ca/
McGill St Laurent Inc.,3,Tier 6 - Committed,https://mgslclimatesolutions.com/
Colourific Coatings Ltd.,3,Tier 6 - Committed,https://www.colourific.com/
Toronto Zoo,3,Tier 6 - Committed,https://www.torontozoo.com/
RENO Buildings Canada Inc.,3,Tier 6 - Committed,https://renobuilding.ca/
Cofomo Inc.,3,Tier 6 - Committed,https://www.cofomo.com/
Computacenter Canada Inc.,3,Tier 6 - Committed,https://www.computacenter.com/en-ca/
RHEA Group Canada,3,Tier 6 - Committed,https://rheacanada.ca/
Buy Social Canada,3,Tier 6 - Committed,https://www.buysocialcanada.com/
Concreteville,3,Tier 6 - Committed,https://concreteville.com/
Payments Canada,3,Tier 6 - Committed,https://www.payments.ca/
Richmond Plywood Corporation Limited,3,Tier 6 - Committed,https://richply.com/about-us/our-history/
Urbacon Buildings Group Inc.,3,Tier 6 - Committed,https://www.urbacon.net/
Convertus Group,3,Tier 6 - Committed,https://convertusgroup.com/
Carlsun Energy Solutions Inc,3,Tier 6 - Committed,https://www.carlsun.com/
The Gibbard District,3,Tier 6 - Committed,https://gibbarddistrict.ca/
H.R. Doornekamp Construction Ltd.,3,Tier 6 - Committed,https://www.hrdoornekamp.ca/
Sinova Quartz,3,Tier 6 - Committed,https://sinovaglobal.com/operations/sinova-quartz/
Patio Drummond,3,Tier 6 - Committed,https://www.patiodrummond.com/
Varme Energy Inc.,3,Tier 6 - Committed,https://www.varmeenergy.com/
SunTech Énergie Inc.,3,Tier 6 - Committed,https://www.suntechenergie.ca/en
Make Your Mark Today Inc,3,Tier 6 - Committed,https://www.makeyourmarktoday.ca/about-us/
Marketing Guardians Inc.,3,Tier 6 - Committed,https://marketingguardians.com/
NEUF architect(e)s inc.,3,Tier 6 - Committed,https://www.neuf.ca/en
MadMacDesign Inc.,3,Tier 6 - Committed,https://madmacdesign.com/
Pixforia Inc.,3,Tier 6 - Committed,https://pixforia.com/a-propos/
EarthDaily Analytics Corp.,3,Tier 6 - Committed,https://earthdaily.com/
INSA Corp.,3,Tier 6 - Committed,https://www.insacorp.com/
Stoneworks Technologies Inc.,3,Tier 6 - Committed,https://swti.ca/
Lunar Medical Inc.,3,Tier 6 - Committed,https://www.lunarmedical.com/
Hydravion Aventure Inc.,3,Tier 6 - Committed,https://www.hydrobase.ca/en
Geocentrix Technologies Ltd.,3,Tier 6 - Committed,http://www.geocentrix.ca/#home
Azimuth Consulting Group Inc.,3,Tier 6 - Committed,https://azimuthgroup.ca/
Active Earth Engineering Ltd.,3,Tier 6 - Committed,https://activeearth.ca/
Cryotic Consulting Ltd.,3,Tier 6 - Committed,https://cryotic.ca/
Blackfin Sports Group,3,Tier 6 - Committed,https://blackfinsportsgroup.com/
Cansew Inc.,3,Tier 6 - Committed,https://cansew.com/
Ski Garceau Inc.,3,Tier 6 - Committed,https://skigarceau.com/
Acden Holdings Limited Partnership,3,Tier 6 - Committed,https://www.acden.com/
Coentreprise Cité Caron,3,Tier 6 - Committed,https://www.centrecaron.ca/en-ca/
Language School Creusot,3,Tier 6 - Committed,https://ecolecreusot.ca/en/
PME Création de valeur inc.,3,Tier 6 - Committed,https://pmecdv.com/
